territory	name	official-name	start-date	end-date
AE-AZ	Abu Dhabi	Emirate of Abu Dhabi		
SH-AC	Ascension	Ascension Island		
AE-AJ	Ajman	Emirate of Ajman		
XQZ	Akrotiri	Sovereign Base Areas of Akrotiri and Dhekelia		
AX	Åland Islands	Åland Islands		
AS	American Samoa	Territory of American Samoa		
AI	Anguilla	Anguilla		
AQ	Antarctica	Antarctica		
AW	Aruba	Aruba		
UM-81	Baker Island	Baker Island		
BM	Bermuda	Bermuda		
BQ-BO	Bonaire	Bonaire		
BV	Bouvet Island	Bouvet Island		
BAT	British Antarctic Territory	British Antarctic Territory		
IO	British Indian Ocean Territory	The British Indian Ocean Territory		
VG	British Virgin Islands	The Virgin Islands		
KY	Cayman Islands	Cayman Islands		
CX	Christmas Island	Territory of Christmas Island		
CC	Cocos (Keeling) Islands	Territory of the Cocos (Keeling) Islands		
CK	Cook Islands	Cook Islands		
ES-CE	Cueta	Cueta		
CW	Curaçao	Country of Curaçao		
XXD	Dhekelia	Sovereign Base Areas of Akrotiri and Dhekelia		
AE-DU	Dubai	Emirate of Dubai		
FK	Falkland Islands	Falkland Islands		
FO	Faroe Islands	Faroe Islands		
GF	French Guiana	French Guiana		
PF	French Polynesia	French Polynesia		
TF	French Southern Territories	French Southern Territories		
AE-FU	Fujairah	Emirate of Fujairah		
GI	Gibraltar	Gibraltar		
GL	Greenland	Greenland		
GP	Guadeloupe	Guadeloupe		
GU	Guam	Territory of Guam		
GG	Guernsey	Bailiwick of Guernsey		
HM	Heard Island and McDonald Islands	Territory of Heard Island and McDonald Islands		
HK	Hong Kong	Hong Kong Special Administrative Region		
UM-84	Howland Island	Howland Island		
IM	Isle of Man	Isle of Man		
UM-86	Jarvis Island	Jarvis Island		
JE	Jersey	Bailiwick of Jersey		
UM-67	Johnston Atoll	Johnston Atoll		
UM-89	Kingman Reef	Kingman Reef		
MO	Macao	Macao Special Administrative Region		
MQ	Martinique	Martinique		
YT	Mayotte	Mayotte		
ES-ML	Melilla	Melilla		
UM-71	Midway Islands	Midway Islands		
MS	Montserrat	Montserrat		
UM-76	Navassa Island	Navassa Island		
NC	New Caledonia	New Caledonia		
NU	Niue	Niue		
NF	Norfolk Island	Territory of Norfolk Island		
MP	Northern Mariana Islands	Commonwealth of the Northern Mariana Islands		
PS	Occupied Palestinian Territories	The Occupied Palestinian Territories		
UM-95	Palmyra Atoll	Palmyra Atoll		
PN	Pitcairn, Henderson, Ducie and Oeno Islands	Pitcairn, Henderson, Ducie and Oeno Islands		
PR	Puerto Rico	Commonwealth of Puerto Rico		
RE	Réunion	Réunion		
AE-RK	Ras al-Khaimah	Emirate of Ras al-Khaimah		
BQ-SA	Saba	Saba		
BL	Saint Barthélemy	Saint Barthélemy		
SH-HL	Saint Helena	Saint Helena		
MF	Saint-Martin (French part)	Collectivity of Saint Martin		
PM	Saint Pierre and Miquelon	Saint Pierre and Miquelon		
AE-SH	Sharjah	Emirate of Sharjah		
BQ-SE	Sint Eustatius	Sint Eustatius		
SX	Sint Maarten (Dutch part)	Sint Maarten		
GS	South Georgia and South Sandwich Islands	South Georgia and the South Sandwich Islands		
SJ	Svalbard and Jan Mayen	Svalbard and Jan Mayen		
TW	Taiwan	Taiwan		
TK	Tokelau	Tokelau		
SH-TA	Tristan da Cunha	Tristan da Cunha		
TC	Turks and Caicos Islands	Turks and Caicos Islands		
AE-UQ	Umm al-Quwain	Emirate of Umm al-Quwain		
VI	United States Virgin Islands	Virgin Islands of the United States		
UM-79	Wake Island	Wake Island		
WF	Wallis and Futuna	Territory of the Wallis and Futuna Islands		
EH	Western Sahara	Western Sahara		
