Afghanistan	Afghanistan
Albania	Albania
Algeria	Algeria
American Samoa	American Samoa
Andorra	Andorra
Angola	Angola
Anguilla	Anguilla
Antigua and Barbuda	Antigua and Barbuda
Argentina	Argentina
Armenia	Armenia
Aruba	Aruba
Austria	Austria
Australia	Australia
Azerbaijan	Azerbaijan
Bahamas	Bahamas
Bahrain	Bahrain
Bangladesh	Bangladesh
Barbados	Barbados
Belarus	Belarus
Belgium	Belgium
Belize	Belize
Benin	Benin
Bermuda	Bermuda
Bhutan	Bhutan
Bolivia	Bolivia
Bonaire/St Eustatius/Saba	Bonaire/St Eustatius/Saba
Bosnia and Herzegovina	Bosnia and Herzegovina
Botswana	Botswana
Brazil	Brazil
British Indian Ocean Territory	British Indian Ocean Territory
British Virgin Islands	British Virgin Islands
Brunei	Brunei
Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Burma	Burma
Burundi	Burundi
Cambodia	Cambodia
Cameroon	Cameroon
Canada	Canada
Cape Verde	Cape Verde
Cayman Islands	Cayman Islands
Central African Republic	Central African Republic
Chad	Chad
Chile	Chile
China	China
Colombia	Colombia
Comoros	Comoros
Congo	Congo
Costa Rica	Costa Rica
Cote d'Ivoire	Cote d'Ivoire
Croatia	Croatia
Cuba	Cuba
Curacao	Curacao
Cyprus	Cyprus
Czech Republic	Czech Republic
Democratic Republic of Congo	Democratic Republic of Congo
Denmark	Denmark
Djibouti	Djibouti
Dominica	Dominica
Dominican Republic	Dominican Republic
Ecuador	Ecuador
Egypt	Egypt
El Salvador	El Salvador
Equatorial Guinea	Equatorial Guinea
Eritrea	Eritrea
Estonia	Estonia
Ethiopia	Ethiopia
Falkland Islands	Falkland Islands
Fiji	Fiji
Finland	Finland
France	France
French Guiana	French Guiana
French Polynesia	French Polynesia
Gabon	Gabon
Gambia	Gambia
Georgia	Georgia
Germany	Germany
Ghana	Ghana
Gibraltar	Gibraltar
Greece	Greece
Grenada	Grenada
Guadeloupe	Guadeloupe
Guatemala	Guatemala
Guernsey	Guernsey
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Guyana	Guyana
Haiti	Haiti
Honduras	Honduras
Hong Kong	Hong Kong
Hungary	Hungary
Iceland	Iceland
India	India
Indonesia	Indonesia
Iran	Iran
Iraq	Iraq
Ireland	Ireland
Isle of Man	Isle of Man
Israel	Israel
Italy	Italy
Jamaica	Jamaica
Japan	Japan
Jersey	Jersey
Jordan	Jordan
Kazakhstan	Kazakhstan
Kenya	Kenya
Kiribati	Kiribati
Kosovo	Kosovo
Kuwait	Kuwait
Kyrgyzstan	Kyrgyzstan
Laos	Laos
Latvia	Latvia
Lebanon	Lebanon
Lesotho	Lesotho
Liberia	Liberia
Libya	Libya
Liechtenstein	Liechtenstein
Lithuania	Lithuania
Luxembourg	Luxembourg
Macao	Macao
Macedonia	Macedonia
Madagascar	Madagascar
Malawi	Malawi
Malaysia	Malaysia
Maldives	Maldives
Mali	Mali
Malta	Malta
Marshall Islands	Marshall Islands
Martinique	Martinique
Mauritania	Mauritania
Mauritius	Mauritius
Mayotte	Mayotte
Mexico	Mexico
Micronesia	Micronesia
Moldova	Moldova
Monaco	Monaco
Mongolia	Mongolia
Montenegro	Montenegro
Montserrat	Montserrat
Morocco	Morocco
Mozambique	Mozambique
Namibia	Namibia
Nauru	Nauru
Nepal	Nepal
Netherlands	Netherlands
New Caledonia	New Caledonia
New Zealand	New Zealand
Nicaragua	Nicaragua
Niger	Niger
Nigeria	Nigeria
North Korea	North Korea
Norway	Norway
Oman	Oman
Pakistan	Pakistan
Palau	Palau
Occ. Palestinian Territories	Occ. Palestinian Territories
Panama	Panama
Papua New Guinea	Papua New Guinea
Paraguay	Paraguay
Peru	Peru
Philippines	Philippines
Pitcairn Island	Pitcairn Island
Poland	Poland
Portugal	Portugal
Qatar	Qatar
Reunion	Reunion
Romania	Romania
Russia	Russia
Rwanda	Rwanda
St Helena	St Helena
St Kitts and Nevis	St Kitts and Nevis
St Lucia	St Lucia
St Maarten	St Maarten
St Pierre &amp; Miquelon	St Pierre &amp; Miquelon
St Vincent and The Grenadines	St Vincent and The Grenadines
Samoa	Samoa
San Marino	San Marino
Sao Tome and Principe	Sao Tome and Principe
Saudi Arabia	Saudi Arabia
Senegal	Senegal
Serbia	Serbia
Seychelles	Seychelles
Sierra Leone	Sierra Leone
Singapore	Singapore
Slovakia	Slovakia
Slovenia	Slovenia
Solomon Islands	Solomon Islands
Somalia	Somalia
South Africa	South Africa
Sth Georgia &amp; Sth Sandwich Is	Sth Georgia &amp; Sth Sandwich Is
South Korea	South Korea
South Sudan	South Sudan
Spain	Spain
Sri Lanka	Sri Lanka
Sudan	Sudan
Suriname	Suriname
Swaziland	Swaziland
Sweden	Sweden
Switzerland	Switzerland
Syria	Syria
Taiwan	Taiwan
Tajikistan	Tajikistan
Tanzania	Tanzania
Thailand	Thailand
Timor-Leste	Timor-Leste
Togo	Togo
Tonga	Tonga
Trinidad and Tobago	Trinidad and Tobago
Tunisia	Tunisia
Turkey	Turkey
Turkmenistan	Turkmenistan
Turks and Caicos Islands	Turks and Caicos Islands
Tuvalu	Tuvalu
Uganda	Uganda
Ukraine	Ukraine
United Arab Emirates	United Arab Emirates
United Kingdom	United Kingdom
Uruguay	Uruguay
USA	USA
Uzbekistan	Uzbekistan
Vanuatu	Vanuatu
Venezuela	Venezuela
Vietnam	Vietnam
Wallis and Futuna	Wallis and Futuna
Western Sahara	Western Sahara
Yemen	Yemen
Zambia	Zambia
Zimbabwe	Zimbabwe
